id,name,position,team,draft_year,twitter_username,stats_id,weight,college,draft_round,height,rotoworld_id,nfl_id,espn_id,birthdate,status,may_16_value,trend,may_16,apr_16_value,apr_16,mar_16_value,mar_16,feb_16_value,feb_16,jan_16_value,jan_16,dec_15_value,dec_15,nov_15_value,nov_15,oct_15_value,oct_15,sept_15_value,sept_15
12176,DeVante Parker,WR,MIA,2015,DeVanteParker09,28402,218,Louisville,1,75,10415,devanteparker/2552409,2576623,727506000,0,6812,-2.3,21.8,6951,19.1,7093,19.4,7238,18.0,6812,24.0,5455,36.5,4735,38.0,5134,34.0,5239,33.0
10708,Lamar Miller,RB,MIA,2012,millertime_6,25807,225,Miami,4,70,7408,lamarmiller/2533034,14886,672555600,0,6676,15.4,23.9,5455,30.2,4832,39.3,5239,39.0,5566,34.5,6283,30.0,5239,33.0,3359,54.0,5134,34.0
11244,Travis Kelce,TE,KCC,2013,0,26686,260,Cincinnati,3,77,8411,traviskelce/2540258,15847,623566800,0,3292,-4.8,56.0,3036,58.8,3716,51.2,3792,51.5,4457,43.0,5914,32.5,5031,35.0,6035,26.0,5031,35.0
10005,Pick 5,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,3098,-1.3,58.9,2976,58.9,3161,57.6,3642,58.6,5455,36.0,5566,36.0,4931,36.0,4931,36.0,4931,36.0
12181,Nelson Agholor,WR,PHI,2015,nelsonagholor,28408,198,USC,1,72,10360,nelsonagholor/2552600,2971618,738219600,0,1467,-5.8,90.3,1438,86.3,1947,84.6,2242,83.0,2481,74.0,2858,67.5,3098,58.0,3497,52.0,4931,36.0
12153,TJ Yeldon,RB,JAC,2015,T_Yeldon,28424,225,Alabama,2,73,10311,t.j.yeldon/2552471,2976516,749538000,0,3497,-17.8,51.8,3642,49.3,5134,34.0,5455,36.0,5914,31.0,5680,35.5,5566,30.0,4735,38.0,4832,37.0
12151,Melvin Gordon,RB,SDC,2015,Melvingordon25,28403,215,Wisconsin,1,73,10284,melvingordon/2552469,2576434,734677200,0,3036,10.7,60.2,2383,66.8,2690,70.8,2801,71.0,2745,70.0,4832,43.5,5346,32.0,5566,30.0,4735,38.0
12155,Ameer Abdullah,RB,DET,2015,Ameerguapo,28442,203,Nebraska,2,69,10338,0,2576336,739947600,0,2154,8.4,76.7,1690,81.3,1908,85.1,2198,84.0,2916,65.0,3161,63.5,2801,62.0,4548,40.0,4641,39.0
10006,Pick 6,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,2916,3.7,61.4,2690,61.4,2916,65.1,3292,62.4,4832,40.0,5239,40.0,4548,40.0,4548,40.0,4548,40.0
9831,Golden Tate,WR,SEA,2010,ShowtimeTate,24035,198,Notre Dame,2,70,5583,goldentate/497326,13217,586501200,0,3359,-1.8,54.9,3226,55.2,3428,53.1,3428,60.0,3036,64.0,1986,85.5,1870,81.0,2636,65.0,4548,40.0
9918,Emmanuel Sanders,WR,PIT,2010,E_Sanders88,24057,180,Southern Methodist,3,71,5885,emmanuelsanders/497322,13295,542955600,0,2976,-2.2,60.8,3161,57.0,3098,58.7,3497,59.5,4111,48.0,5680,35.5,5680,29.0,4931,36.0,4457,41.0
10049,2017 1st,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,2916,5.4,61.4,2690,61.4,2801,66.8,3036,65.2,4641,42.0,5031,42.0,4368,42.0,4368,42.0,4368,42.0
9448,LeSean McCoy,RB,PHI,2009,CutonDime25,9317,208,Pittsburgh,2,71,5168,leseanmccoy/79607,12514,584686800,0,2288,10.2,75.1,1528,84.3,1870,85.3,1908,89.5,3497,57.0,4281,49.0,2636,65.0,2481,68.0,4368,42.0
10703,Russell Wilson,QB,SEA,2012,DangeRussWilson,25785,206,Wisconsin,3,71,7460,russellwilson/2532975,14881,596782800,0,3642,9.1,50.8,2745,60.8,3036,59.8,3497,59.5,3716,52.5,2690,71.0,2383,70.0,3716,50.0,4281,43.0
10007,Pick 7,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,2745,2.9,63.9,2583,63.9,2801,66.8,3036,65.2,4368,44.0,4735,44.0,4195,44.0,4195,44.0,4195,44.0
8670,Marshawn Lynch,RB,BUF,2007,MoneyLynch,8266,215,California,1,71,4186,marshawnlynch/2495663,10456,514530000,0,22,-28.8,266.8,21,261.8,94,238.0,106,246.5,1175,110.5,1947,86.5,2027,77.0,2976,60.0,4195,44.0
11688,Martavis Bryant,WR,PIT,2014,0,27646,211,Clemson,4,76,9416,martavisbryant/2543572,16886,693205200,0,371,-129.8,149.7,2481,65.3,6951,19.9,7093,19.0,7386,18.5,6812,26.5,5796,28.0,5346,32.0,4111,45.0
10276,Mark Ingram,RB,NOS,2011,MarkIngram22,24815,215,Alabama,1,69,6471,markingram/2495466,13981,630219600,0,3869,0.0,50.2,3359,52.3,3792,50.2,3716,52.5,4111,48.0,5031,42.0,4931,36.0,4641,39.0,4029,46.0
11657,Carlos Hyde,RB,SFO,2014,0,27585,235,Ohio State,2,72,9381,carloshyde/2543743,16777,685342800,0,3792,14.8,50.3,2801,59.7,2916,65.1,3161,64.5,3036,64.0,4111,50.0,4548,40.0,5239,33.0,3948,47.0
11783,John Brown,WR,ARI,2014,0,27619,179,Pittsburgh State,3,71,9649,johnbrown/2543847,16804,639118800,0,3716,-6.3,50.6,4457,39.8,4457,44.3,4641,45.0,5134,38.0,5346,38.5,4281,43.0,4457,41.0,3869,48.0
10008,Pick 8,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,2583,10.4,67.4,2335,67.4,2198,77.8,2583,74.3,4111,48.0,4368,48.0,3869,48.0,3869,48.0,3869,48.0
9122,Matt Forte,RB,CHI,2008,MattForte22,8821,218,Tulane,2,74,4685,mattforte/234,11278,503038800,0,1274,-3.5,96.9,1248,93.9,1559,93.4,1725,96.0,2154,79.0,2916,66.0,2690,64.0,3869,48.0,3792,49.0
12180,Dorial Green-Beckham,WR,TEN,2015,DorialGB5,28428,237,Oklahoma,2,77,10395,dorialgreen-beckham/2552491,2971433,734590800,0,5239,-0.8,33.8,5134,31.4,5346,33.0,5566,32.5,5455,36.0,4735,44.0,3792,49.0,4368,42.0,3716,50.0
10053,2018 1st,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,2111,6.8,76.8,1947,76.8,2068,83.5,2335,81.5,3869,50.4,4029,50.4,3642,50.4,3642,50.4,3642,50.4
9436,Jeremy Maclin,WR,PHI,2009,jmac_18,9283,198,Missouri,1,72,5169,jeremymaclin/80429,12579,579330000,0,5031,6.1,35.9,4735,37.8,4641,42.0,5134,40.5,4548,42.5,4195,49.5,3497,52.0,3948,47.0,3569,51.0
9662,Julian Edelman,WR,NEP,2009,Edelman11,9496,200,Kent State,7,70,5440,julianedelman/238498,12649,517122000,0,3497,-5.7,51.8,3569,49.6,4195,46.2,4548,45.5,4931,39.0,5134,41.5,3948,47.0,4111,45.0,3497,52.0
10009,Pick 9,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,2027,5.8,78.0,1796,78.0,2027,83.8,2111,85.5,3792,52.0,3869,52.0,3497,52.0,3497,52.0,3497,52.0
11409,Charles Johnson,WR,GBP,2013,0,26839,217,Grand Valley St,7,74,8615,charlesjohnson/2541147,15885,604558800,0,5,-90.7,313.5,36,242.5,122,222.8,176,216.0,357,170.0,723,138.5,667,131.0,1870,81.0,3428,53.0
12197,Breshad Perriman,WR,BAL,2015,B_Perriman11,28414,218,Central Florida,1,74,10357,0,2972460,747637200,0,3569,-2.1,51.4,4029,45.1,3948,49.3,4111,49.0,3569,56.0,3569,57.5,3036,59.0,3098,58.0,3359,54.0
11193,Giovani Bernard,RB,CIN,2013,G_Bernard25,26660,205,North Carolina,2,69,8389,giovanibernard/2540156,15826,690786000,0,2531,6.5,67.5,1870,77.8,2431,74.0,2431,76.5,2858,66.0,3716,53.5,3869,48.0,3226,56.0,3292,55.0
11673,Kelvin Benjamin,WR,CAR,2014,0,27556,245,Florida State,1,77,9321,kelvinbenjamin/2543471,16730,665730000,0,6035,7.6,26.1,6035,25.5,5239,33.7,5680,32.0,5796,31.5,5566,36.0,4029,46.0,4195,44.0,3226,56.0
10010,Pick 10,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,1760,11.0,81.8,1656,81.8,1623,92.8,2027,87.3,3569,56.0,3642,56.0,3226,56.0,3226,56.0,3226,56.0
12177,Kevin White,WR,CHI,2015,kwhite8,28395,215,West Virginia,1,75,10427,kevinwhite/2553432,3042435,740984400,0,6283,1.6,25.5,6412,22.2,5914,27.1,6158,25.5,6158,29.0,5914,32.5,5134,34.0,4832,37.0,3161,57.0
12188,Phillip Dorsett,WR,IND,2015,Dorsett_4,28417,185,Miami,1,70,10381,0,2579604,726210000,0,1248,-4.3,98.6,1409,86.6,1528,94.3,1832,92.0,1725,91.0,1870,88.0,1760,84.0,2531,67.0,3098,58.0
11390,Latavius Murray,RB,OAK,2013,LataviusM,26804,230,Central Florida,6,75,8585,lataviusmurray/2541161,15920,632638800,0,1725,-3.6,82.7,1623,82.3,2154,79.1,2916,69.5,3161,62.0,4457,46.5,4457,41.0,4029,46.0,3036,59.0
10011,Pick 11,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,1690,20.9,83.1,1591,83.1,1326,104.0,1796,93.1,3359,60.0,3359,60.0,2976,60.0,2976,60.0,2976,60.0
12205,Devin Funchess,WR,CAR,2015,D_FUNCH,28429,225,Michigan,2,76,10391,0,2977609,769496400,0,1908,-14.2,79.3,2531,64.3,2858,65.2,3359,62.0,2976,64.5,2481,75.5,1591,89.0,1725,85.0,2976,60.0
10057,2019 1st,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,1300,8.5,96.0,1175,96.0,1274,104.4,1559,101.8,3292,60.5,3292,60.5,2916,60.5,2916,60.5,2916,60.5
12152,Tevin Coleman,RB,ATL,2015,Teco_Raww,28461,210,Indiana,3,73,10359,0,2979477,734936400,0,1106,14.5,102.6,885,110.3,960,117.1,999,121.0,1409,101.0,1796,90.0,1690,86.0,2690,64.0,2858,61.0
8687,Greg Olsen,TE,CHI,2007,gregolsen88,8285,253,Miami (Fla.),1,77,4190,gregolsen/2495700,10475,479365200,0,2335,0.3,74.6,1832,77.8,2383,74.9,2745,71.5,3161,62.0,3497,58.5,2481,68.0,2288,72.0,2801,62.0
6931,Andre Johnson,WR,HOU,2003,johnson80,6339,229,Miami (Fla.),1,75,1575,andrejohnson/2505551,4461,363675600,0,9,29.0,296.0,3,325.0,8,325.0,14,325.0,15,324.0,102,240.5,159,199.0,224,183.0,2745,63.0
10012,Pick 12,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,1020,-2.4,107.2,979,107.2,1223,104.8,1591,101.0,3036,64.0,3098,64.0,2690,64.0,2690,64.0,2690,64.0
11175,Andre Ellington,RB,ARI,2013,AEllington38,26810,199,Clemson,6,69,8388,andreellington/2539217,15893,602485200,0,75,-13.1,214.4,71,217.8,207,201.3,291,191.5,579,146.5,1062,118.0,850,120.0,1438,94.0,2690,64.0
11668,Isaiah Crowell,RB,FA,2014,0,28014,225,Alabama State,0,71,9401,isaiahcrowell/2550189,17133,726469200,0,667,-0.1,127.2,343,149.2,800,127.1,979,121.5,1300,105.5,1151,113.5,1248,101.0,1274,100.0,2636,65.0
10870,Alfred Morris,RB,WAS,2012,Trey_Deuces,25883,224,Florida Atlantic,6,70,7618,alfredmorris/2533457,15009,597906000,0,130,-41.8,196.3,322,151.4,513,154.5,641,149.5,850,128.0,999,122.0,769,125.0,1467,93.0,2583,66.0
9118,Jordy Nelson,WR,GBP,2008,JordyRNelson,8813,217,Kansas State,2,75,4731,jordynelson/1032,11270,486363600,0,5680,11.3,29.1,5031,34.3,4735,40.4,4832,43.0,3948,49.5,4281,49.0,3428,53.0,3792,49.0,2531,67.0
9690,Arian Foster,RB,FA,2009,ArianFoster,9527,227,Tennessee,0,73,5469,arianfoster/79555,12497,525243600,0,44,-86.8,237.0,53,229.0,556,150.2,709,144.0,784,130.0,445,158.5,269,174.0,3161,57.0,2481,68.0
10013,Pick 13,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,999,1.8,108.9,941,108.9,1175,110.7,1467,103.5,2801,68.0,2801,68.0,2481,68.0,2481,68.0,2481,68.0
9075,DeSean Jackson,WR,PHI,2008,DeseanJackson10,8826,178,California,2,70,4659,deseanjackson/1581,11283,533797200,0,1041,-6.0,107.0,800,116.5,1409,101.0,1528,102.5,1870,88.0,1725,94.0,1623,88.0,2431,69.0,2431,69.0
8360,Brandon Marshall,WR,DEN,2006,BMarshall,7868,230,Central Florida,4,76,3653,brandonmarshall/2495893,9705,448866000,0,4281,1.5,44.9,3497,50.7,4111,46.4,4735,44.5,4735,40.5,3948,50.5,2745,63.0,2858,61.0,2383,70.0
10709,Doug Martin,RB,TBB,2012,DougMartin22,25741,223,Boise State,1,69,7426,dougmartin/2532899,14885,600670800,0,4457,11.2,41.4,4111,44.3,3569,52.6,3948,50.5,5031,38.5,4548,45.0,3716,50.0,1528,91.0,2335,71.0
10014,Pick 14,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,738,-11.7,122.6,709,122.6,1151,110.9,1353,108.0,2636,72.0,2636,72.0,2288,72.0,2288,72.0,2288,72.0
10721,Michael Floyd,WR,ARI,2012,MichaelMFloyd,25723,220,Notre Dame,1,74,6759,michaelfloyd/2532841,14908,628146000,0,4735,-2.3,39.3,4195,43.0,5031,37.0,5346,37.0,4931,39.0,3792,52.5,3569,51.0,1796,83.0,2288,72.0
10061,2020 1st,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,817,10.6,120.0,738,120.0,784,130.5,885,127.3,2583,72.6,2531,72.6,2242,72.6,2242,72.6,2242,72.6
9822,CJ Spiller,RB,BUF,2010,CJSPILLER,23984,200,Clemson,1,71,5566,c.j.spiller/497204,13203,556002000,0,82,32.4,210.8,88,211.8,82,243.2,75,269.0,176,207.5,98,245.5,35,300.0,1497,92.0,2198,73.0
10697,Ryan Tannehill,QB,MIA,2012,ryantannehill1,25718,220,Texas A&M,1,76,7417,ryantannehill/2532956,14876,585982800,0,579,30.6,133.9,269,162.1,445,164.5,455,170.5,709,136.0,1041,119.0,1175,104.0,1151,105.0,2154,74.0
10077,Chris Ivory,RB,FA,2010,ivory33,24400,222,Washington State,0,72,6168,chrisivory/2507999,13587,575010000,0,591,-19.1,132.2,654,125.4,1084,113.1,1274,113.0,1467,99.0,2801,68.0,2583,66.0,1832,82.0,2111,75.0
12157,Duke Johnson,RB,CLE,2015,DukeJohnson,28465,210,Miami,3,69,10358,dukejohnson/2552461,2969962,748760400,0,1832,4.0,80.0,1326,92.6,1986,84.0,2154,84.5,2111,80.0,3098,64.0,3161,57.0,2745,63.0,2068,76.0
10015,Pick 15,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,723,-6.3,123.0,681,123.0,999,116.8,1248,113.9,2383,76.0,2431,76.0,2068,76.0,2068,76.0,2068,76.0
12187,Tyler Lockett,WR,SEA,2015,TDLockett12,28457,182,Kansas State,3,70,10408,tylerlockett/2552430,2577327,717656400,0,3948,-5.8,50.1,3948,45.3,4457,44.3,4368,48.0,3569,56.0,2481,75.5,2111,75.0,2111,75.0,2027,77.0
9278,Justin Forsett,RB,SEA,2008,JForsett,9010,195,California,7,68,4819,justinforsett/927,11467,498114000,0,248,31.2,165.7,156,185.8,229,196.8,364,182.5,336,174.5,628,146.0,1326,98.0,1353,97.0,1986,78.0
9101,Jonathan Stewart,RB,CAR,2008,Jonathanstewar1,8790,235,Oregon,1,70,4650,jonathanstewart/949,11247,543301200,0,833,1.4,118.3,817,115.5,922,119.7,1020,120.5,1947,84.5,2335,79.0,1725,85.0,885,118.0,1947,79.0
10273,Cam Newton,QB,CAR,2011,CameronNewton,24788,245,Auburn,1,77,6491,camnewton/2495455,13994,610866000,0,5455,5.3,33.1,4548,39.3,4931,38.3,5455,36.0,6035,30.5,3792,52.5,2858,61.0,3036,59.0,1908,80.0
10016,Pick 16,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,695,-9.9,126.8,628,126.8,979,116.8,1199,114.4,2111,80.0,2288,80.0,1908,80.0,1908,80.0,1908,80.0
12171,David Johnson,RB,ARI,2015,0,28474,224,Northern Iowa,3,73,10404,davidjohnson/2553435,2508176,692859600,0,7238,1.4,19.1,6676,20.8,6812,20.5,6951,21.5,7386,18.5,3497,58.5,2976,60.0,3292,55.0,1870,81.0
9099,Matt Ryan,QB,ATL,2008,M_Ryan02,8780,217,Boston College,1,76,4637,mattryan/310,11237,485154000,0,464,24.3,142.5,286,158.9,411,166.8,428,172.5,738,133.5,979,122.5,903,117.0,1656,87.0,1832,82.0
9525,Mike Wallace,WR,PIT,2009,Wallace17_daKid,9348,205,Mississippi,3,72,5329,mikewallace/2507763,12601,523256400,0,77,95.8,213.7,12,284.7,14,309.5,51,285.0,220,198.5,403,164.0,641,133.0,1175,104.0,1796,83.0
9044,Martellus Bennett,TE,DAL,2008,MartysaurusRex,8838,273,Texas A&M,2,78,4639,martellusbennett/1062,11295,542350800,0,343,2.2,153.6,403,144.1,493,155.8,524,160.5,628,143.0,1128,114.5,1559,90.0,1986,78.0,1760,84.0
10017,Pick 17,PICK,PICK,2016,0,0,0,0,0,0,0,0,0,6.80E+008,R,654,-6.8,127.5,615,127.5,903,120.7,1106,117.5,1986,84.0,2068,84.0,1760,84.0,1760,84.0,1760,84.0
10720,Kendall Wright,WR,TEN,2012,0,25730,191,Baylor,1,70,7425,kendallwright/2532977,14909,626850000,0,524,-22.6,139.2,513,135.4,1020,116.6,1175,115.0,1199,108.0,1690,95.0,1986,78.0,2198,73.0,1725,85.0
